id,carbono_estoque_g.m2,data_coleta_ano,coord_x,coord_y,espessura,FOREST,NONFOREST,PASTURE,AGRICULTURE,FORESTRY,NONVEGETATION,data_coleta_ano
ctb0003-sm-dnos-165,2664,2009,-53.793491,-29.632815,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-166,1620,2009,-53.792412,-29.632731,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-167,2772,2009,-53.789929,-29.631019,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-168,13200,2009,-53.789562,-29.633504,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-169,2952,2009,-53.808173,-29.640348,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-170,1933,2009,-53.791219,-29.659826,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-171,1647,2009,-53.791357,-29.661561,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-172,1814,2009,-53.790273,-29.661112,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-173,4239,2009,-53.788316,-29.660327,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-174,2844,2009,-53.791491,-29.657305,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-175,3393,2009,-53.788747,-29.656993,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-176,2290,2009,-53.785327,-29.65311,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-177,5918,2009,-53.783219,-29.651386,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-178,4272,2009,-53.783879,-29.649234,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2009
ctb0003-sm-dnos-179,3251,2009,-53.780514,-29.648612,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-180,4185,2009,-53.778733,-29.646016,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-181,4838,2009,-53.777791,-29.644165,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-182,2404,2009,-53.77652,-29.642462,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-183,1386,2009,-53.772698,-29.64255,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
