"id","carbono_estoque_kgm2","data_coleta_ano","coord_x","coord_y"
"ctb0003-sm-dnos-308",1.92,2009,-53.801995,-29.643462
"ctb0003-sm-dnos-309",4.76,2009,-53.798483,-29.638399
"ctb0003-sm-dnos-310",1.73,2009,-53.796176,-29.636379
"ctb0003-sm-dnos-311",2.16,2009,-53.796364,-29.634465
"ctb0003-sm-dnos-312",3.77,2009,-53.801775,-29.631777
"ctb0003-sm-dnos-313",1.06,2009,-53.798727,-29.631263
"ctb0003-sm-dnos-314",6.61,2009,-53.796921,-29.625943
"ctb0003-sm-dnos-315",6.24,2009,-53.793425,-29.628681
"ctb0003-sm-dnos-316",5.46,2009,-53.796474,-29.630243
"ctb0003-sm-dnos-317",2.23,2009,-53.798254,-29.629007
"ctb0003-sm-dnos-318",3.76,2009,-53.802661,-29.635847
"ctb0003-sm-dnos-319",2.78,2009,-53.803755,-29.637746
"ctb0003-sm-dnos-320",10.93,2009,-53.802998,-29.639039
"ctb0003-sm-dnos-321",2.27,2009,-53.801426,-29.638301
"ctb0003-sm-dnos-322",3.25,2009,-53.799553,-29.635547
"ctb0003-sm-dnos-323",4.06,2009,-53.802428,-29.641051
"ctb0003-sm-dnos-324",3.21,2011,-53.787873,-29.625082
"ctb0003-sm-dnos-325",6.36,2011,-53.786644,-29.62871
"ctb0003-sm-dnos-326",4.53,2011,-53.788389,-29.628381
"ctb0003-sm-dnos-327",7.13,2011,-53.788474,-29.626886
"ctb0003-sm-dnos-328",3.74,2011,-53.788732,-29.626399
"ctb0003-sm-dnos-329",3.3,2011,-53.788224,-29.627674
"ctb0003-sm-dnos-330",5.59,2011,-53.789644,-29.627991
"ctb0003-sm-dnos-331",4.91,2011,-53.790217,-29.627805
"ctb0003-sm-dnos-332",6.64,2011,-53.79037,-29.622202
"ctb0003-sm-dnos-333",4.95,2011,-53.793849,-29.623116
"ctb0003-sm-dnos-334",5.47,2011,-53.794571,-29.623717
"ctb0003-sm-dnos-335",4.66,2011,-53.795534,-29.62455
"ctb0003-sm-dnos-336",8.32,2011,-53.797046,-29.626271
"ctb0003-sm-dnos-337",6.54,2011,-53.796533,-29.626693
"ctb0003-sm-dnos-338",5.46,2011,-53.797059,-29.628048
"ctb0003-sm-dnos-339",5.33,2011,-53.799666,-29.627511
"ctb0003-sm-dnos-340",4.02,2011,-53.795503,-29.629005
"ctb0003-sm-dnos-341",1.5,2013,-53.805933,-29.641887
"ctb0003-sm-dnos-342",1.14,2013,-53.806853,-29.642282
"ctb0003-sm-dnos-343",2.34,2013,-53.807792,-29.64265
"ctb0003-sm-dnos-344",1.93,2013,-53.808722,-29.643027
"ctb0003-sm-dnos-345",2.23,2013,-53.809662,-29.643413
"ctb0003-sm-dnos-346",3.39,2013,-53.80773,-29.640775
"ctb0003-sm-dnos-347",2.8,2013,-53.808717,-29.640989
"ctb0003-sm-dnos-348",3.06,2013,-53.809787,-29.641237
"ctb0003-sm-dnos-349",3.86,2013,-53.81069,-29.641407
"ctb0003-sm-dnos-350",3.43,2013,-53.811657,-29.641666
"ctb0003-sm-dnos-351",2.39,2013,-53.807954,-29.649601
"ctb0003-sm-dnos-352",1.77,2013,-53.808951,-29.649417
"ctb0003-sm-dnos-353",1.36,2013,-53.809981,-29.649341
"ctb0003-sm-dnos-354",2.42,2013,-53.811022,-29.649265
"ctb0003-sm-dnos-355",1.7,2013,-53.812053,-29.649189
